S.No,StateName,Total_Population,Numbers_of_Aadhaar,assigned,Saturation
1,A&NIslands,417036,386887,92.77%
2,Andhra Pradesh,53903393,49064995,91.02%
3,Arunachal Pradesh,1570458,1237815,78.82%
4,Assam,35607039,15325268,43.04%
5,Bihar,124799926,103687457,83.08%
6,Chandigarh,1158473,1134740,97.95%
7,Chhattisgarh,29436231,27505900,93.44%
8,Dadar & Nagar Haveli and Daman & Diu,615724,592838,96.28%
9,Delhi,18710922,21923885,117.17%
10,Goa,1586250,1587487,100.08%
11,Gujarat,63872399,62744098,98.23%
12,Haryana,28204692,29211350,103.57%
13,Himachal Pradesh,7451955,7589415,101.84%
14,Jammu Kashmir,13606320,10797544,79.36%
15,Jharkhand,38593948,34723702,89.97%
16,Karnataka,67562686,62741309,92.86%
17,Kerala,35699443,36514435,102.28%
18,Ladakh,289023,220750,76.38%
19,Lakshadweep,73183,71357,97.51%
20,Madhya,Pradesh,85358965,75228066,88.13%
21,Maharashtra,123144223,114719961,93.16%
22,Manipur,3091545,2533057,81.93%
23,Meghalaya,3366710,1366343,40.58%
24,Mizoram,1239244,1124144,90.71%
25,Nagaland,2249695,1284310,57.09%
26,Odisha,46356334,42831826,92.40%
27,Puducherry,1413542,1285937,90.97%
28,Punjab,30141373,30441970,101.00%
29,Rajasthan,81032689,70534913,87.05%
30,Sikkim,690251,576957,83.59%
31,Tamil Nadu,77841267,72477405,93.11%
32,Telangana,38510982,39551086,102.70%
33,Tripura,4169794,3690076,88.50%
34,Uttar Pradesh,237882725,205112745,86.22%
35,Uttarakhand,11250858,11112939,98.77%
36,West Bengal,99609303,91845432,92.21%
